"MESH","I","PL","S","INDEX"
"5238075812",4.929,4.17,0.18,-2
"5238075523",4.582,0.00,0.00,-2
"5238075231",4.375,-1.00,-1.00,-2
"5238066914",4.355,-1.00,-1.00,-2
"5238066923",4.355,-1.00,-1.00,-2
"5238066924",4.351,-1.00,-1.00,-2
"5238076023",4.324,-1.00,-1.00,-2
"5238076024",4.333,-1.00,-1.00,-2
"5238076114",4.346,-1.00,-1.00,-2
"5238076524",4.527,-1.00,-1.00,-2
"5238076431",4.470,-1.00,-1.00,-2
"5238076432",4.473,-1.00,-1.00,-2
"5238076441",4.472,-1.00,-1.00,-2
"5238076442",4.497,-1.00,-1.00,-2
"5238076531",4.506,-1.00,-1.00,-2
"5238076532",4.503,-1.00,-1.00,-2
"5238076541",4.524,-1.00,-1.00,-2
"5238056943",4.546,0.00,0.00,-2
"5238076333",4.420,-1.00,-1.00,-2
"5238076434",4.437,-1.00,-1.00,-2
"5238057921",4.841,0.00,0.00,-2
"5238067921",4.360,-1.00,-1.00,-2
"5238067914",4.355,-1.00,-1.00,-2
"5238067341",4.429,-1.00,-1.00,-2
"5238067034",4.788,0.00,0.00,-2
"5238067343",4.446,-1.00,-1.00,-2
"5238068221",4.539,0.00,0.00,-2
"5238068222",4.571,0.00,0.00,-2
"5238068311",4.522,0.00,0.00,-2
"5238068312",4.465,-1.00,-1.00,-2
"5238068214",4.621,0.00,0.00,-2
"5238068223",4.600,0.00,0.00,-2
"5238068224",4.556,0.00,0.00,-2
"5238068042",4.948,-1.00,-1.00,-2
"5238068233",4.640,0.00,0.00,-2
"5238068734",4.356,-1.00,-1.00,-2
"5238069122",4.635,0.00,0.00,-2
"5238079922",4.883,-1.00,-1.00,-2
"5238069123",4.839,-1.00,-1.00,-2
"5238069124",4.839,-1.00,-1.00,-2
"5238079824",4.633,0.00,0.00,-2
"5238079913",4.922,7.44,0.20,-2
"5238079914",4.960,3.11,0.15,-2
"5238079923",4.852,-1.00,-1.00,-2
"5238079924",4.878,-1.00,-1.00,-2
"5238069142",4.846,-1.00,-1.00,-2
"5238079932",4.839,0.37,0.04,-2
"5238079941",4.856,0.72,0.13,-2
"5238079942",5.002,5.09,0.18,-2
"5238069144",4.865,0.13,0.01,-2
"5238069233",4.851,0.01,0.01,-2
"5238079343",4.387,-1.00,-1.00,-2
"5238079443",4.434,-1.00,-1.00,-2
"5238079444",4.449,-1.00,-1.00,-2
"5238079933",4.895,2.70,0.19,-2
"5238079934",4.905,3.28,0.13,-2
"5238079943",4.868,2.16,0.23,-2
"5238160211",4.734,0.00,0.00,-2
"5238160212",4.731,0.00,0.00,-2
"5238160221",4.846,0.33,0.04,-2
"5238160311",4.735,0.00,0.00,-2
"5238160312",4.583,0.00,0.00,-2
"5238160322",4.587,0.00,0.00,-2
"5238160411",4.561,0.00,0.00,-2
"5238170511",4.443,-1.00,-1.00,-2
"5238170911",4.784,0.00,0.00,-2
"5238170912",4.770,-1.00,-1.00,-2
"5238160213",4.852,0.00,0.00,-2
"5238160214",4.852,0.81,0.07,-2
"5238160223",4.786,0.00,0.00,-2
"5238160224",4.840,0.24,0.04,-2
"5238160313",4.831,0.19,0.03,-2
"5238160314",4.821,0.00,0.00,-2
"5238160323",4.584,0.00,0.00,-2
"5238160324",4.592,0.00,0.00,-2
"5238160413",4.591,0.00,0.00,-2
"5238160414",4.662,0.00,0.00,-2
"5238170513",4.433,-1.00,-1.00,-2
"5238170514",4.443,-1.00,-1.00,-2
"5238170824",4.872,1.59,0.12,-2
"5238170913",4.903,1.84,0.13,-2
"5238170914",4.735,0.00,0.00,-2
"5238160142",4.795,0.10,0.01,-2
"5238160231",4.855,0.16,0.03,-2
"5238160232",4.849,0.61,0.05,-2
"5238160241",4.784,0.15,0.04,-2
"5238160242",4.845,1.00,0.09,-2
"5238160331",4.747,0.00,0.00,-2
"5238160332",4.734,0.00,0.00,-2
"5238160341",4.612,0.00,0.00,-2
"5238160431",4.507,0.00,0.00,-2
"5238160441",4.535,0.00,0.00,-2
"5238160632",4.391,-1.00,-1.00,-2
"5238160741",4.378,-1.00,-1.00,-2
"5238170541",4.446,-1.00,-1.00,-2
"5238170842",4.865,1.69,0.16,-2
"5238170931",4.902,2.01,0.15,-2
"5238160233",4.856,0.16,0.05,-2
"5238160234",4.847,0.17,0.02,-2
"5238160243",4.840,0.64,0.08,-2
"5238160333",4.718,0.00,0.00,-2
"5238160334",4.579,0.00,0.00,-2
"5238160443",4.522,0.00,0.00,-2
"5238160444",4.523,0.00,0.00,-2
"5238160543",4.448,-1.00,-1.00,-2
"5238160544",4.456,-1.00,-1.00,-2
"5238160633",4.426,-1.00,-1.00,-2
"5238160634",4.437,-1.00,-1.00,-2
"5238170544",4.438,-1.00,-1.00,-2
"5238170843",4.803,0.00,0.00,-2
"5238170844",4.841,0.75,0.09,-2
"5238170933",4.892,2.36,0.14,-2
"5238161212",4.744,0.00,0.00,-2
"5238161511",4.505,0.00,0.00,-2
"5238161512",4.447,-1.00,-1.00,-2
"5238161521",4.457,-1.00,-1.00,-2
"5238171821",4.792,0.00,0.00,-2
"5238171822",4.728,0.00,0.00,-2
"5238161513",4.477,-1.00,-1.00,-2
"5238171823",4.781,0.00,0.00,-2
"5238161531",4.461,-1.00,-1.00,-2
"5238171832",4.692,0.00,0.00,-2
"5238171841",4.682,0.00,0.00,-2
"5238161233",4.757,0.07,0.02,-2
"5238171833",4.687,0.00,0.00,-2
"5238171844",4.594,-1.00,-1.00,-2
"5238162122",4.766,0.10,0.02,-2
"5238162211",4.780,0.18,0.04,-2
"5238162212",4.749,0.00,0.00,-2
"5238162124",4.790,0.21,0.06,-2
"5238162213",4.730,-1.00,-1.00,-2
"5238162214",4.723,0.00,0.00,-2
"5238162142",4.796,0.27,0.06,-2
"5238162231",4.739,0.00,0.00,-2
"5238162232",4.876,1.93,0.13,-2
"5238162241",4.726,0.00,0.00,-2
"5238162143",4.755,0.00,0.00,-2
"5238162233",4.709,0.00,0.00,-2
"5238162243",4.743,0.00,0.00,-2
"5238162244",4.666,0.00,0.00,-2
"5238162333",4.600,0.00,0.00,-2
"5238163121",4.809,0.00,0.00,-2
"5238163211",4.635,0.00,0.00,-2
"5238163222",4.646,0.00,0.00,-2
"5238163311",4.654,0.00,0.00,-2
"5238163114",4.791,0.00,0.00,-2
"5238163313",4.597,0.00,0.00,-2
"5238163332",4.569,0.00,0.00,-2
"5238163341",4.602,0.00,0.00,-2
"5238173341",4.462,-1.00,-1.00,-2
"5238173342",4.455,-1.00,-1.00,-2
"5238173431",4.447,-1.00,-1.00,-2
"5238163134",4.914,0.00,0.00,-2
"5238163343",4.571,0.00,0.00,-2
"5238173443",4.449,-1.00,-1.00,-2
"5238164322",4.567,0.00,0.00,-2
"5238164324",4.539,0.00,0.00,-2
"5238164413",4.566,0.00,0.00,-2
"5238164431",4.560,0.00,0.00,-2
"5238164433",4.550,0.00,0.00,-2
"5238165412",4.558,0.00,0.00,-2
"5238165441",4.517,0.00,0.00,-2
"5238166111",4.930,1.89,0.02,-2
"5238166113",4.816,0.00,0.01,-2
"5238166114",4.807,0.00,0.00,-2
"5238166713",4.464,-1.00,-1.00,-2
"5238166714",4.452,-1.00,-1.00,-2
"5238176313",4.488,-1.00,-1.00,-2
"5238166133",4.945,0.00,0.00,-2
"5238166144",4.590,0.00,0.00,-2
"5238166544",4.505,0.00,0.00,-2
"5238167112",4.821,1.02,0.02,-2
"5238167121",4.801,0.00,0.00,-2
"5238167123",4.640,0.00,0.00,-2
"5238168141",4.967,7.01,0.18,-2
"5238168134",4.964,3.87,0.14,-2
"5238169112",4.969,4.30,0.17,-2
"5238169121",4.748,-1.00,-1.00,-2
"5238169122",4.712,-1.00,-1.00,-2
"5238169113",4.893,1.52,0.16,-2
"5238169114",4.893,1.52,0.16,-2
"5238169124",4.710,-1.00,-1.00,-2
"5238169832",4.506,-1.00,-1.00,-2
"5238169841",4.505,-1.00,-1.00,-2
"5238169842",4.501,-1.00,-1.00,-2
"5238169134",4.714,-1.00,-1.00,-2
"5238261123",5.013,3.78,0.05,-2
"5238261141",5.006,6.41,0.08,-2
"5238261142",5.019,8.12,0.18,-2
"5238261231",5.072,-1.00,-1.00,-2
"5238261232",5.089,-1.00,-1.00,-2
"5238261241",4.873,0.00,0.00,-2
"5238261242",4.857,-1.00,-1.00,-2
"5238261331",4.856,0.00,0.00,-2
"5238261332",4.850,0.00,0.00,-2
"5238261341",4.791,0.00,0.00,-2
"5238261342",4.757,0.00,0.00,-2
"5238261144",4.940,3.43,0.16,-2
"5238261233",5.081,-1.00,-1.00,-2
"5238261234",5.099,-1.00,-1.00,-2
"5238261243",4.886,0.00,0.00,-2
"5238261244",4.891,-1.00,-1.00,-2
"5238261333",4.831,0.00,0.00,-2
"5238261334",4.805,0.00,0.00,-2
"5238262122",4.947,-1.00,-1.00,-2
